*N,e raised to the power N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Exponential.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M*N,M raised to the power N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Power.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
⍟N,Natural logarithm of N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Natural%20Logarithm.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M⍟N,Base-M logarithm of N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Logarithm.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
○N,pi times N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pi%20Times.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Circular/Trigonometric,"
I○N,Circular functions <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
~B,Logical inverse (NOT): 0=B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Boolean/Logical,"
Xv~Y,Without: (~Xv∊Y)/Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Excluding.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
X Y⍨Z,Constant: ignore arguments and return Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Structural,"
X f⍨Y,Commute: same as Y f X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
X f⍨Y,Church Boolean Logical Inverse <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Mathematical,"
Y⍨Z,Constant: ignore argument and return Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Structural,"
f⍨Y,Selfie: same as Y f Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
X f∘g Y,"Beside: X∘f on the result of g on Y, that is, X f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
X∘g Y,"Curry: g between X and Y, that is, XgY <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Bind.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
f∘g Y,"Beside: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
X f¨Y,Each: f between items of X and Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Dyadic%20Operand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
f¨Y,Each: f on items of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Monadic%20Operand.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
X f⍥g Y,Over: preprocess (g) arguments before applying main function (f) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm?Highlight=%E2%8D%A5'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Composition,"
