Residue after dividing N by M,M|N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Residue.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Factorial (Gamma function of N+1),!N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Factorial.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
"Number of selections of size M from N (using Beta function): C(N,M)",M!N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Binomial.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
"Selecting elements satisfying condition A, others to 1",A!N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Binomial.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Random number selected from ⍳J,?J <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Roll.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
"Random real number between (0,1) if B=0 or ⎕IO if B=1",?B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Roll.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Deal: Is random items from ⍳Js (without replacement),Is?Js <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Deal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Less Than,M<N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical converse nonimplication,A<B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Less Than Or Equal To,M≤N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical implication,A≤B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Equal To,X=Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical XNOR,A=B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Greater Than Or Equal To,M≥N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical converse implication,A≥B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Greater Than,M>N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical nonimplication,A>B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Nub sieve: mask for major cells to leave the distinct (∪Y),≠Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique%20Mask.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Sets,"
Not Equal To,X≠Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
Logical XOR,A≠B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Depth: Maximum level of nesting in Y (negative if uneven),≡Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Depth.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
"Match: 1 if X is identical to Y, else 0",X≡Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Match.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Number of rows in matrix Xm,≢Xm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
Tally: Number of items in leading axis,≢Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
Not Match: ~X≡Y,X≢Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Match.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Split: Nest sub-arrays (from last axis),↓Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Matrix to vector of row vectors,↓Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Drop Is rows from matrix Ym,Is↓Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Drop Iv items along leading axes of Y,Iv↓Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Mix: Remove nesting (adding trailing axes),↑Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Vector of row vectors to matrix,↑Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Padding Yv on the right to width Is,Is↑Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Take Is rows from matrix Ym,Is↑Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Take Iv items along leading axes of Y,Iv↑Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Padding Ys to shape Iv,Iv↑Ys <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Shape: Length of each axis of Y,⍴Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Shape.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
Reshape Y to have shape Iv,Iv⍴Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reshape.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
e raised to the power N,*N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Exponential.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M raised to the power N,M*N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Power.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Natural logarithm of N,⍟N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Natural%20Logarithm.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Base-M logarithm of N,M⍟N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Logarithm.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
pi times N,○N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pi%20Times.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Circular/Trigonometric,"
Circular functions,I○N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Logical inverse (NOT): 0=B,~B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Boolean/Logical,"
Without: (~Xv∊Y)/Xv,Xv~Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Excluding.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Constant: ignore arguments and return Y,X Y⍨Z <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Structural,"
Commute: same as Y f X,X f⍨Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Church Boolean Logical Inverse,X f⍨Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Mathematical,"
Constant: ignore argument and return Y,Y⍨Z <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Structural,"
Selfie: same as Y f Y,f⍨Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
"Beside: X∘f on the result of g on Y, that is, X f g Y",X f∘g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
"Curry: g between X and Y, that is, XgY",X∘g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Bind.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
"Beside: f on the result of g on Y, that is, f g Y",f∘g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
Each: f between items of X and Y,X f¨Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Dyadic%20Operand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Each: f on items of Y,f¨Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Monadic%20Operand.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Over: preprocess (g) arguments before applying main function (f),X f⍥g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm?Highlight=%E2%8D%A5'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Composition,"
"Over: f on the result of g on Y, that is, f g Y",f⍥g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
N-wise Reduce: f between all items of Y in groups of Is on last axis,Is f/Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Replicate along last axis of Y,Iv/Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Filtering columns of Y according to mask Av,Av/Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Reduce: f between all items of Y on last axis,f/Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
N-wise Reduce First: f between all items of Y in groups of Is on first axis,Is f⌿Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Replicate along leading axis of Y,Iv⌿Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Filtering major cells of Y according to mask Av,Av⌿Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Reduce First: f between all items of Y on first axis,f⌿Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
"Atop: f on the result of X g Y, that is, f X g Y",X f⍤g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
"Atop: f on the result of g on Y, that is, f g Y",f⍤g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Composition,"
Logical NOR,A⍱B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nor%20Symbol.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Logical NAND,A⍲B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nand%20Symbol.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
Ravel: Reshape into a vector,",Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel.htm'>Link to docs<a/>","Primitive,Monadic Function,nan,Structural,"
Catenate: Join along last axis,"X,Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Structural,"
Append scalar to each row of matrix,"Xm,Ys <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Structural,"
Append elements of vector to respective rows of matrix,"Xm,Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Structural,"
Table: Reshape into 2-dimensional array,⍪Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Ravel planes of rank 3 array Y to form rows of a matrix,⍪Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Reshaping vector Yv into a one-column matrix,⍪Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Catenate First: Join along leading axis,X⍪Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Append scalar to each column of matrix,Xm⍪Ys <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Append elements of vector to respective columns of matrix,Xm⍪Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
First item of Y,⊃Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Disclose.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Selection,"
Reach into Y along path given by Iv,Iv⊃Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pick.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Enclose: Scalar containing Y,⊂Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enclose.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Partitioned enclose of Y according to Av (along last axis) beginning enclosures on 1s,Av⊂Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partitioned%20Enclose.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
"Nest: Y if already nested, else scalar containing Y",⊆Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Nest.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Partition Y according to Mv (along last axis) beginning partitions on increases,Mv⊆Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partition.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Materialise items of Y in workspace,⌷Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Materialise.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Identity,"
Index Y using indices Iv,Iv⌷Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Integers from 1 to Js,⍳Js <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
Indices of all items of array of shape Jv,⍳Jv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
Index of: First indices in X of major cells Y,X⍳Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Index of keys Y in key vector Xv,Xv⍳Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Enlist: Simple vector from elements of Y,∊Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enlist.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
"For each item of X, 1 if found in Y, else 0",X∊Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Membership.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Indices of all 1s in B,⍸B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
List of arcs from adjacency matrix Bm,⍸Bm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Indices of major cells of Y in left-inclusive intervals with cut-offs X,X⍸Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Interval%20Index.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Unique: Distinct major cells of Y,∪Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Sets,"
"Union: Xv,Yv~Xv",Xv∪Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Union.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Intersection: (Xv∊Yv)/Xv,Xv∩Yv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Intersection.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Power: iterating X∘f on Y until condition (f Y) g Y is true,X f⍣g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Iteration,"
Power: iterating f on Y until condition (f Y) g Y is true,f⍣g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Iteration,"
Ascending grade: Indices to reorder Y into ascending order,⍋Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
Invert permutation,⍋Jv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
Ascending grade using collation sequence C,C⍋D <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Descending grade: Indices to reorder Y into descending order,⍒Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
Descending grade using collation sequence C,C⍒D <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Expand last axis of Y,Iv\Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Scan: f between items of Y in progressively longer vectors along last axis,f\Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Expand leading axis of Y,Iv⍀Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Scan First: f between items of Y in progressively longer vectors along first axis,f⍀Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Transpose: Reverse order of axes of Y,⍉Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Reflect diagonally,⍉Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Reorder the axes of Y,Iv⍉Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Key: f between unique X values and their corresponding items of Y,X f⌸Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Sets,"
Key: f between unique Y values and their first-axis indices,f⌸Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Sets,"
Boolean indication of top left corner of occurrences of entire array X within Y,X⍷Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Find.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
Inner Product: f / g between trailing vectors of X and leading vectors of Y,X f.g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Inner%20Product.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Mathematical,"
Decode: Evaluate N in number system M,M⊥N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Value of polynomial with descending coefficients N at point Ns,Ns⊥N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Encoding value N in number system M,M⊤N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Encode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Matrix inverse of Nm (square Nm),⌹Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Matrix pseudo-inverse of Nm (over-determined Nm),⌹Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Solve equation system with variable coefficients Nm and values Mv,Mv⌹Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Multiplying Mm with inversed Nm,Mm⌹Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Execute: Result of expression Dv,⍎Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Data Conversion,"
Execute Dv within namespace X (name or reference),X⍎Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Data Conversion,"
Format: Character representation of Y,⍕Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Data Conversion,"
"Format Y using ({width}, decimals) pairs Iv (negative decimals for scaled notation)",Iv⍕Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Data Conversion,"
Spawn: f between X and Y in a new thread,X f&Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,System,"
Spawn: f on Y in a new thread,f&Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,System,"
I-beam: Call experimental system-related monadic function Ns,Ns⌶Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/I%20Beam.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,System,"
Modified Assignment (tradfns/tradops only),name f←Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
