⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
↓Ym,Matrix to vector of row vectors <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>
Is↓Ym,Drop Is rows from matrix Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>
Iv↓Y,Drop Iv items along leading axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>
↑Y,Mix: Remove nesting (adding trailing axes) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>
↑Yv,Vector of row vectors to matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>
Is↑Yv,Padding Yv on the right to width Is <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>
Is↑Ym,Take Is rows from matrix Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>
Iv↑Y,Take Iv items along leading axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>
Iv↑Ys,Padding Ys to shape Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>
⍴Y,Shape: Length of each axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Shape.htm'>Link to docs<a/>
Iv⍴Y,Reshape Y to have shape Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reshape.htm'>Link to docs<a/>
*N,e raised to the power N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Exponential.htm'>Link to docs<a/>
M*N,M raised to the power N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Power.htm'>Link to docs<a/>
⍟N,Natural logarithm of N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Natural%20Logarithm.htm'>Link to docs<a/>
M⍟N,Base-M logarithm of N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Logarithm.htm'>Link to docs<a/>
○N,pi times N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pi%20Times.htm'>Link to docs<a/>
I○N,Circular functions <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Circular.htm'>Link to docs<a/>
~B,Logical inverse (NOT): 0=B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not.htm'>Link to docs<a/>
